timestamp,turbidity_in,turbidity_out,status,phase
207818,1191.13,1246.44,alert,emergency
208064,1205.04,1246.44,alert,emergency
208311,1205.04,1260.13,alert,emergency
208557,1205.04,1260.13,alert,emergency
208803,1191.13,1246.44,alert,emergency
209049,1191.13,1232.69,alert,emergency
209296,1205.04,1260.13,alert,emergency
209542,1218.89,1260.13,alert,emergency
209787,1205.04,1246.44,alert,emergency
210034,1191.13,1246.44,alert,emergency
210280,1205.04,1246.44,alert,emergency
210527,1205.04,1260.13,alert,emergency
210772,1205.04,1260.13,alert,emergency
211019,1205.04,1246.44,alert,emergency
211265,1191.13,1246.44,alert,emergency
211511,1205.04,1260.13,alert,emergency
211758,1218.89,1260.13,alert,emergency
212003,1205.04,1246.44,alert,emergency
212250,1191.13,1232.69,alert,emergency
212496,1205.04,1246.44,alert,emergency
212743,1205.04,1260.13,alert,emergency
212988,1205.04,1246.44,alert,emergency
213234,1191.13,1246.44,alert,emergency
213481,1191.13,1246.44,alert,emergency
213727,1205.04,1260.13,alert,emergency
213974,1205.04,1260.13,alert,emergency
214219,1205.04,1246.44,alert,emergency
214466,1191.13,1232.69,alert,emergency
214712,1191.13,1246.44,alert,emergency
214958,1205.04,1260.13,alert,emergency
215204,1205.04,1246.44,alert,emergency
215450,1191.13,1232.69,alert,emergency
215697,1191.13,1232.69,alert,emergency
215943,1205.04,1260.13,alert,emergency
216189,1205.04,1260.13,alert,emergency
216435,1191.13,1246.44,alert,emergency
216681,1191.13,1232.69,alert,emergency
216928,1205.04,1246.44,alert,emergency
217174,1205.04,1260.13,alert,emergency
217420,1205.04,1260.13,alert,emergency
217666,1191.13,1246.44,alert,emergency
217913,1191.13,1246.44,alert,emergency
